Keyword,Assigned Category
Champagne Vinegar,Salad dressings
Apple Cider Vinegar Dressing,Salad dressings
White Balsamic Reduction,"Pasta sauces, tomato-based"
Fig Balsamic Vinegar,Salad dressings
Red Wine Balsamic Vinegar,Salad dressings
Cheese Puff Corn,"Tortilla, corn, other chips"
Cherry Balsamic Vinegar,Tomato-based condiments
Apple Cider Vinegar Coffee,Coffee
Pomegranate Balsamic Vinegar,Salad dressings
Vinegar Powder,Mustard and other condiments
Blueberry Infused Balsamic Vinegar,Tomato-based condiments
Apple Cider Vinegar Green Tea,Other diet drinks
Apple Cider Vinegar Powder,Mustard and other condiments
Mango Balsamic Vinegar,Salad dressings
Apple Cider Vinegar Beverage,Other diet drinks
Tomato Vinegar,Tomato-based condiments
Sliced Jalapenos,Other vegetables and combinations
ACV Shot,Other diet drinks
Steak Marinade,Other sauces
Peach Infused Balsamic Vinegar,Salad dressings
Beef Pasta Skillet Dinner,"Pasta mixed dishes, excludes macaroni and cheese"
Olive Oil and Balsamic Vinegar Spray,Salad dressings
Rice Vinegar Dressing,Salad dressings
Chicken & Broccoli Linguine,"Pasta mixed dishes, excludes macaroni and cheese"
Balsamic Glace,"Pasta sauces, tomato-based"
Orange Infused Balsamic Vinegar,Tomato-based condiments
Pomegranate Champagne Vinegar,Salad dressings
Truffle Infused Balsamic Vinegar,Salad dressings
Drinking Vinegar,Other diet drinks
Pear Infused Balsamic Vinegar,Salad dressings
White Distilled Vinegar,Salad dressings
Elbow Macaroni,Pasta
Pickling & Canning Vinegar,Tomato-based condiments
Cup Noodle Curry,Soy-based sauce mixtures
Glaze,Other sauces
Real Salt,Saltine crackers
Sea Salt Flakes,Saltine crackers
Alfredo-Style Pasta and Sauce,"Pasta mixed dishes, excludes macaroni and cheese"
Mirin,Soy-based condiments
Garlic & Cilantro White Balsamic Vinegar,Salad dressings
Malt Vinegar Powder,Mustard and other condiments
Protein Pasta,Pasta
Chicken Noodle Soup Mix,Soups
Cup Noodle,Turnovers and other grain-based items
Ginger Lemon Cider Vinegar Shot,Other diet drinks
Charro Beans,"Bean, pea, legume dishes"
Diced Mango Fruit Cup Snacks,Other fruits and fruit salads
Flatbread Wraps,Tortillas
Fusilli Pasta,Pasta
Chili Ramen Noodles,Noodles
SpaghettiOs,"Pasta mixed dishes, excludes macaroni and cheese"
Cup Noodles,Rice mixed dishes
Potato Gnocchi,Pasta
Stroganoff Pasta Skillet Dinner,"Pasta mixed dishes, excludes macaroni and cheese"
Chicken Alfredo Meal Kit,"Pasta mixed dishes, excludes macaroni and cheese"
Four Cheese Lasagna Pasta Skillet Dinner,"Pasta mixed dishes, excludes macaroni and cheese"
Mushroom Ravioli,"Pasta mixed dishes, excludes macaroni and cheese"
Iodized Salt Packets,Saltine crackers
Cheeseburger Dinner Kit,Meat mixed dishes
Brown Rice Noodles,Noodles
Brown Mustard,Mustard and other condiments
Chicken Pasta Sides,"Pasta mixed dishes, excludes macaroni and cheese"
Yakisoba Noodles,Stir-fry
Penne Rigate Pasta,Pasta
Fideo Cut Spaghetti Pasta,Pasta
Ramen,Noodles
Balsamic Vinegars,Salad dressings
Cheeseburger Skillet Frozen Meal,Meat mixed dishes
Pizza Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Egg-Free Pasta,Pasta
Chicken Ravioli,"Pasta mixed dishes, excludes macaroni and cheese"
Lobster Ravioli,Seafood mixed dishes
Elbow Macaroni Pasta,Pasta
Spicy Seafood Ramen,"Pasta mixed dishes, excludes macaroni and cheese"
Noodles,Noodles
Brown Rice Penne Pasta,Pasta
Mac and Cheese,Macaroni and cheese
Chickpea Penne Pasta,Pasta
Shirataki Pasta,Noodles
Bourbon Balsamic Vinegar,Salad dressings
Peri-Peri Salt,Seasonings
Rice Wine Vinegar Powder,Soy-based condiments
White Sea Salt,Saltine crackers
Tuna Pasta and Beans,Seafood mixed dishes
Egg Pasta,Pasta
Jumbo Elbows,Pasta
Lasagna,"Pasta mixed dishes, excludes macaroni and cheese"
Whole Grain Elbows,Pasta
Penne Rigate,Pasta
Red Lentil Rotini Pasta,Pasta
Brown Rice Lasagna Pasta,Pasta
Southwestern Style Chicken & Pasta,Poultry mixed dishes
Swedish Meatballs with Pasta,Meat mixed dishes
Baked Ziti with Meatballs,"Pasta mixed dishes, excludes macaroni and cheese"
Teriyaki Chicken Noodles,Soy-based sauce mixtures
Whole Grain Lasagne Pasta,Pasta
Rigatoni,Pasta
Sweet Potato Penne,Pasta
Cauliflower Pasta,Pasta
Bowties,Pasta
Acini di Pepe Pasta,Pasta
Hearts of Palm Spaghetti,Pasta
Lasagna Noodles,Pasta
Gluten-Free Pasta Mix,"Pasta mixed dishes, excludes macaroni and cheese"
Peanut Oil,Vegetable oils
Bourbon Chicken Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Kung Pao Noodle Bowl,Stir-fry
Shirataki Noodles,Noodles
Couscous Rice,Rice
Orange Chicken,Poultry mixed dishes
Ziti Rigati,Pasta
Whole Grain Rotini Pasta,Pasta
Capellini,Pasta
Sea Shells,Noodles
Fidelini,Pasta
Pasta Variety Pack,Pasta
Small Shells,Pasta
Chicken Flavored Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Pho Ga Soup,Soups
Fettuccine Meatballs with Tomato Sauce,"Pasta mixed dishes, excludes macaroni and cheese"
Brown Rice Elbows,Pasta
Jamaican Jerk Chicken Scratch Kit,Poultry mixed dishes
Miso Ramen,Soy-based sauce mixtures
Cajun Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Beef Stroganoff,Meat mixed dishes
Ramen Cooker,Turnovers and other grain-based items
Jumbo Shells,Pasta
Pasta Containers,"Pasta mixed dishes, excludes macaroni and cheese"
Smoked Sea Salt,Saltine crackers
Shrimp Flavor Noodles,Noodles
Radiators Pasta,Pasta
Whole Grain Linguine Pasta,Pasta
Rice Sticks,Rice
Trumpets Pasta,Pasta
Medium Shells,Pasta
Pad Thai,Stir-fry
Brown Rice Manicotti,Pasta
Somen Noodles,Noodles
Buckwheat Noodles,Noodles
Sweet Potato Glass Noodles,Noodles
Bruschetta Spread,Dips
Cascatelli Pasta,Pasta
Vegetable Pho,Soups
Chili & Spaghetti,Meat mixed dishes
Capellini Pasta,Pasta
Whole Grain Pasta,Pasta
Bedtime Tea,Tea
Linguini,Pasta
Israeli Couscous,Cooked Grains
Chili Macaroni,"Pasta mixed dishes, excludes macaroni and cheese"
Shirataki Noodle,Noodles
Konjac Noodles,Noodles
Carbonara Ramen,Stir-fry
Manicotti Pasta,Pasta
Fried Noodle,Lo/chow mein
Chicken Ramen,"Pasta mixed dishes, excludes macaroni and cheese"
Saifun (Bean Threads),Noodles
Chili Soup Mix,Soups
Cheese Ramen,Soy-based sauce mixtures
Rice-A-Roni & Pasta Roni,Rice mixed dishes
Enriched Ziti,Pasta
Spicy Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Protein+ Rotini Pasta,Pasta
Yellow Curry Sauce,"Pasta sauces, tomato-based"
Microwavable Bowls,Turnovers and other grain-based items
Egg Pappardelle Pasta,Pasta
Bean Pasta,Processed soy products
Spicy Ramen Noodles,Noodles
Fried Noodles,Lo/chow mein
Konjac Pasta,Noodles
Gluten-Free Noodles,Noodles
Low Carb Pasta,Pasta
Long Rice,Rice
Spicy Chicken Ramen,Stir-fry
Tuna Pasta Salad,Seafood mixed dishes
Reduced Carb Pasta,Pasta
Soy & Scallion Noodles,Soy-based sauce mixtures
SpaghettiOs with Meatballs,"Pasta mixed dishes, excludes macaroni and cheese"
Edamame Pasta,Pasta
Mini Gnocchi,Pasta
Palmini Angel Hair,Other vegetables and combinations
Lasagna Hamburger Helper,"Pasta mixed dishes, excludes macaroni and cheese"
Organic Pasta,Pasta
Chickpea Pasta,Pasta
Pastina Pasta,Pasta
Stir Fried Noodles,Stir-fry
Shirataki Rice,Cooked Grains
Chao Mein Noodles,Lo/chow mein
Acini Di Pepe Pasta,Pasta
Ginger Sesame Seasoning,Soy-based condiments
Gluten-Free Gnocchi,Pasta
Macaroni Product,Pasta
Spicy Chicken Ramen Noodles,Stir-fry
Ramen Cup Noodles,Soy-based sauce mixtures
Tri-Color Penne,Pasta
Shirataki Noodles and Rice,"Pasta mixed dishes, excludes macaroni and cheese"
Organic Soba,Noodles
Red Beans & Rice,"Bean, pea, legume dishes"
Garlic Pizza Sauce,"Pasta sauces, tomato-based"
Tri-Color Orzo Pasta,Pasta
Teriyaki Beef Noodles,Soy-based sauce mixtures
Shells Pasta & Cheese Sauce,"Pasta mixed dishes, excludes macaroni and cheese"
Pasta,Pasta
Pickling Lime Seasoning,Pickles
Allspice,Spices
Sazón Seasoning,Seasonings
Pork Flavor Noodles,Rice mixed dishes
Buckwheat Ramen,Noodles
Blueberry Sea Salt,Saltine crackers
Whole Wheat Couscous,Cooked Grains
Shirataki Spaghetti,Noodles
Chili Noodles,Stir-fry
Garlic Sea Salt,Saltine crackers
Whole Wheat Fusilli Pasta,Pasta
Icelandic Sea Salt,Saltine crackers
Stir Fried Ramen,Stir-fry
Manicotti Shells,Pasta
Red Lentil Pasta,Pasta
Ready-to-Eat Noodle,"Pasta mixed dishes, excludes macaroni and cheese"
Indomie Noodles,Noodles
Whole Wheat Farfalle Pasta,Pasta
Gluten Free Lasagna Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Soy Noodles,Stir-fry
White Rice Spaghetti,Pasta
Chicken Taco Seasoning,Poultry mixed dishes
Adobo Seasoning,Seasonings
Instant Ramen Noodles,Noodles
Brisket Rub,Seasonings
Bucatini Pasta,Pasta
Pizza Seasoning,Pizza
Thin Noodles,Noodles
Quinoa Spaghetti,Pasta
Seafood Boil Liquid,Seafood mixed dishes
Mezzi Rigatoni Pasta,Pasta
Dried Vegetable Soup Mix,Vegetable dishes
Li Hing Powder,Spices
Turkey Brining Kit,Meat mixed dishes
Konjac Angel Hair,Noodles
Brown Rice Ramen,Noodles
Crunchy Noodles,Turnovers and other grain-based items
Vegan Ramen Noodles,Other Mexican mixed dishes
Onion Gravy Mix,Gravies
Fish Fry Seasoning,Seafood mixed dishes
Edamame Fettuccine Pasta,Pasta
Olive Bruschetta,Olives
Tomato Basil Marinara Sauce,"Pasta sauces, tomato-based"
Beef Gravy Mix,Gravies
Pinto Bean Seasoning,"Beans, peas, legumes"
Pappardelle,Pasta
Indian Noodles,Turnovers and other grain-based items
Bacon Cheeseburger Macaroni Meal,"Pasta mixed dishes, excludes macaroni and cheese"
Soy Bean Spaghetti Pasta,Processed soy products
"Konjac Rice, Spaghetti, Knot, Angel Hair","Pasta mixed dishes, excludes macaroni and cheese"
Mojo Rub,Seasonings
Orzo,Pasta
BBQ Rubs,Other sauces
Mostaccioli Pasta,Pasta
Konjac Spaghetti,Noodles
Pork Gravy Mix,Gravies
Crawfish Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Parma Rosa Sauce Mix,"Pasta sauces, tomato-based"
Lemon-Lime Seasoning,Tomato-based condiments
Pesto,"Pasta sauces, tomato-based"
Stir-Fry Mix,Stir-fry
Country Gravy,Gravies
Brown Gravy Sauce,Gravies
Beef Granules,Meat mixed dishes
Chocolate Gravy Mix,Gravies
Chipotle Ketchup,Tomato-based condiments
Curry Gewurz Ketchup,Tomato-based condiments
Walden Farms Ketchup,Tomato-based condiments
Ketchup Packets,Tomato-based condiments
Ketchup Bottles,Tomato-based condiments
Classic Ketchup,Tomato-based condiments
Red Duck Ketchup,Tomato-based condiments
Ghost Ketchup,Tomato-based condiments
Gluten-Free Ketchup,Tomato-based condiments
Spicy Jerk Ketchup,Tomato-based condiments
Low Sugar Ketchup,Tomato-based condiments
Ketchup Condiment Packs,Tomato-based condiments
Garlic Dip & Spread,Dips
Mayonnaise with Lime Juice,Mayonnaise
Vegan Mayo,Mayonnaise
Japanese Mayonnaise,Mayonnaise
Truffle Mayo,Mayonnaise
Condiment Packets,Mustard and other condiments
Ketchup Mix,Tomato-based condiments
Condiment Pack,Mustard and other condiments
Garlic Mayonnaise,Salad dressings
Organic Mayonnaise,Mayonnaise
Sandwich Sauce,Salad dressings
Burger Secret Spread,Salad dressings
Squeeze Ketchup,Tomato-based condiments
5 Pepper Ketchup,Tomato-based condiments
No Salt Ketchup,Tomato-based condiments
Condiment Relish,Mustard and other condiments
Chipotle Lime Mayo,Salad dressings
Mini Ketchup Bottle,Tomato-based condiments
Hot & Spicy Mayonnaise,Salad dressings
Chipotle Mayonnaise,Salad dressings
Sriracha Mayo,Salad dressings
Bourbon Infused Bacon Ketchup,Tomato-based condiments
Buffalo Mayo,Salad dressings
Mayo Packets,Mayonnaise
Jalapeño Ketchup,Tomato-based condiments
Xylitol Ketchup,Tomato-based condiments
Infused Ketchup,Tomato-based condiments
Smoken Ghost Ketchup,Tomato-based condiments
Mayonnaise Packets,Mayonnaise
Tomato Mix,"Pasta sauces, tomato-based"
Mushroom Ketchup,Other sauces
Hamburger and Fry Sauce,Tomato-based condiments
Ketchup Seasoning,Tomato-based condiments
Ketchup Pack,Tomato-based condiments
Hot & Spicy Ketchup,Tomato-based condiments
Vegetable Ketchup,Tomato-based condiments
Ketchup Squeeze Bottle,Tomato-based condiments
All-Natural Ketchup,Tomato-based condiments
Organic Tomato Ketchup,Tomato-based condiments
Bacon Ketchup,Tomato-based condiments
Rosie's Original Ketchup,Tomato-based condiments
Cranberry Ketchup,Tomato-based condiments
Kimchi Ketchup,Tomato-based condiments
Fig Spread,Toppings
Dill Pickle Ketchup,Tomato-based condiments
Ketchapeno,Tomato-based condiments
Fat Free Tomato Ketchup,Tomato-based condiments
Habanero Ghost Ketchup,Tomato-based condiments
Cherry Dipping Sauce,Dips
Ketchup Kit,Tomato-based condiments
Chicken Spread,Cold cuts
Sweet and Spicy Pickles,Pickles
Ketchup Single Serve Packets,Tomato-based condiments
Pickled Bologna,Deli and cured meat sandwiches
Dill Pickle Ketchup/Spicy Ketchup,Tomato-based condiments
Sweet Chili Ketchup,Tomato-based condiments
Homestyle Ketchup,Tomato-based condiments
BBQ Ketchup,Tomato-based condiments
Artichoke Caper Spread,Dips
Cheeseball and Dip Mix,Dips
Nomato Ketchup,Tomato-based condiments
"Ketchup, Mustard, Relish Pack",Mustard and other condiments
Pickling Lime,Pickles
Chinese Mustard,Mustard and other condiments
Reduced Sugar Ketchup,Tomato-based condiments
Curry Ketchup,Tomato-based condiments
Vinaigrette,Salad dressings
Sandwich Relish,Tomato-based condiments
"BBQ Sauce, Ketchup, Mustard, Salsa, Preserves",Other sauces
White Sauce,Other sauces
Habanero Honey Mustard,Mustard and other condiments
Spicy Chipotle Ketchup,Tomato-based condiments
Deli Mustard,Mustard and other condiments
Primal Kitchen Ketchup,Tomato-based condiments
Verde Salsa Sauce,Tomato-based condiments
Mustard Horseradish,Mustard and other condiments
Woodstock Ketchup,"Pasta sauces, tomato-based"
Ketchup Single Serve,Tomato-based condiments
Mini Ketchup,Tomato-based condiments
Smokey Ketchup,Tomato-based condiments
Hot Pepper Butter,Toppings
Bulk Ketchup,Tomato-based condiments
Ketchup Pouch Pack,Tomato-based condiments
Low Sodium Ketchup,Tomato-based condiments
Ketchup Bottle,Tomato-based condiments
Honey Mustard Dip,Mustard and other condiments
Mango Chutney,Toppings
Honey Chipotle Mustard,Mustard and other condiments
Ajonesa,Mayonnaise
Peri-Peri Hot Sauce,Tomato-based condiments
Italian Salad Dressing Mix,Salad dressings
Cocktail Syrup,Syrups
Sugar Free Cocktail Mixers,Other diet drinks
Frozen Vegetable Mix,Other vegetables and combinations
Frosted Mini-Wheats Cereal,"Ready-to-eat cereal, higher sugar (>21.2g/100g)"
Pineapple Chunks,Pineapple
Canned Mushrooms,Other vegetables and combinations
Cheddar Broccoli Rice,Rice mixed dishes
Canned Green Beans,String beans
Powdered Sugar,Sugars and honey
Canned Potatoes,Other starchy vegetables
Dried Peaches,Dried fruits
Chocolate Covered Raspberries,Candy containing chocolate
Coffee and Chocolate,Coffee
Decaf Espresso Capsules,Coffee
Greens & Superfoods Powder,Protein and nutritional powders
Baby Snacks,Baby food: snacks and sweets
Protein Crisps,Nutrition bars
Veggie Puffs,Potato chips
Cheddar Cheese Puffs,Cheese
Apple Straws,"Crackers, excludes saltines"
Puffed Snack Crackers,"Crackers, excludes saltines"
Corn Snack,"Tortilla, corn, other chips"
Pastry Crisps,"Doughnuts, sweet rolls, pastries"
Protein Breakfast Bars,Nutrition bars
Soft-Baked Bars,Cereal bars
Garlic Powder,Spices
Pasta Seasoning,Seasonings
Pizza Topping Seasoning,Seasonings
Mediterranean Seasoning,Seasonings
Vegetable Seasoning,Seasonings
Sandwich Topping Seasoning,Seasonings
Egg Topping Seasoning,Seasonings
Mac & Cheese Seasoning,Macaroni and cheese
Chicken Seasoning,Seasonings
Potato Seasoning,Seasonings
Smoked Paprika,Spices
Chai Tea Latte,Tea
Wafer Cookies,Cookies and brownies
Birthday Cake Cookies,Cookies and brownies
Horchata,Milk substitutes
Traditional Pasta Sauce,"Pasta sauces, tomato-based"
Chocolate Filled Mints,Candy containing chocolate
Vanilla Oat Milk,Milk substitutes
Fruit Snack Variety Pack,Nutrition bars
Chocolate Biscuit Cookies,Cookies and brownies
Milk Chocolate & Caramel,Candy containing chocolate
Hazelnut Chocolate,Candy containing chocolate
Assorted Milk Chocolate,Candy containing chocolate
Chocolate Candy Mix,Candy containing chocolate
Chocolate Covered Marshmallow,Candy containing chocolate
Milk Chocolate Coins,Candy containing chocolate
Grapes,Grapes
Pineapple,Pineapple
Cappuccino Mix,Coffee
Mushroom Coffee Alternative,Coffee
Chicory Coffee Alternative,Coffee
Flavored Decaf Coffee Pods,Coffee
Flavored Coffee Mix,Coffee
Green Coffee,Coffee
Decaf Espresso Pods,Coffee
Coffee Mix,Coffee
Decaf Coffee Variety Pack,Coffee
Instant Keto Coffee Mix,Coffee
Decaffeinated Espresso Capsules,Coffee
Chai Latte,Tea
Decaf Caramel Mocha Latte Pods,Coffee
Pumpkin Spice Latte Mix,Coffee
Decaf Spiced Eggnog Latte Pods,Coffee
Flavored Instant Coffee,Coffee
Caramel Apple Coffee,Coffee
Decaf Flavored Latte Pods,Coffee
Coconut Tea,Tea
Cappuccino,Coffee
Instant Decaf Coffee,Coffee
Marshmallow Topping,Toppings
Chocolate Sauce,Toppings
White Chocolate Sauce,Syrups
Chocolate Fudge Topping,Toppings
Ice Cream Topping,Toppings
Cheese Tray,Cheese
Cold-Brew Coffee,Coffee
Cold Brew Coffee with Almond Milk,Milk substitutes
Vanilla Cold Brew Coffee,Coffee
Double Espresso,Coffee
Mocha Cold Brew Coffee with Almond Milk,Coffee
Iced Coffee Capsules,Coffee
Chicory Root Coffee Alternative,Coffee
Nutritional Drink,Nutritional beverages
BCAA Supplement,Protein and nutritional powders
Orange Sports Drink,Sport and energy drinks
Lemon Lime Sport Drink,Sport and energy drinks
Thirst Quencher,Sport and energy drinks
Recovery Drink,Nutritional beverages
Chocolate Malt Beverage Mix,Milk shakes
FITAID Zero Sugar,Diet sport and energy drinks
Chocolate Protein Drink,Nutritional beverages
Electrolyte Tablets,Sport and energy drinks
Pickle Juice Sport Drink,Sport and energy drinks
Kiwi Strawberry Sports Drink,Sport and energy drinks
Instant Sports Drink,Sport and energy drinks
PRIME Hydration,Sport and energy drinks
Blue Raspberry Sports Drink,Sport and energy drinks
Metabolic Enhancer,Nutritional beverages
Electrolyte Enhanced Sports Drink,Sport and energy drinks
Powerade,Sport and energy drinks
Liquid Concentrate,Sport and energy drinks
Energizing Jelly Beans,Candy not containing chocolate
Prime Hydration Drink,Sport and energy drinks
Protein Drink,Nutritional beverages
Tropical Punch Sports Beverage,Sport and energy drinks
Kiwi Strawberry Pods,Sport and energy drinks
Electrolyte Add-in,Other diet drinks
Nutritional Energy Drinks,Nutritional beverages
Orange Clementine Sports Drink,Sport and energy drinks
Lemon Drink,Sport and energy drinks
Gatorade Bottle,Sport and energy drinks
Gatorade Pods,Sport and energy drinks
Tropical Punch Sports Drink,Sport and energy drinks
Peach Mango Sports Drink,Sport and energy drinks
Ready-To-Drink Pouches,Sport and energy drinks
Thirst Quencher Liquid Concentrate,Sport and energy drinks
Protein Water,Nutritional beverages
Lemon Lime Sports Drink,Sport and energy drinks
Fruit Punch Flavor,Sport and energy drinks
Isotonic Sports Drinks,Sport and energy drinks
Enhanced Beverage,Enhanced water
Protein Fuel Pack,Nutritional beverages
Gatorade Cool Blue,Sport and energy drinks
Cherry Sports Hydration,Sport and energy drinks
Butter Toffee,Candy containing chocolate
Peanut & Caramel Candy Bars,Candy containing chocolate
Dark Chocolate Toffee,Candy containing chocolate
Baking Pieces,Baking Products
Caramel Milk Chocolate,Candy containing chocolate
Strawberry Smoothie Candy,Candy not containing chocolate
Sesame Brittle,Candy not containing chocolate
Fudge Coated Chocolate Cake,Cakes and pies
Chocolate Toffee Bark,Candy containing chocolate
Almond Toffee,Candy containing chocolate
Coconut Brittle,Candy not containing chocolate
Toffees and Chocolate Eclairs,Candy containing chocolate
Chocolate-covered Caramels,Candy containing chocolate
Chocolate & Caramel Candy Assortment,Candy containing chocolate
Chewy Candies,Candy not containing chocolate
Sugar-Free Toffees,Candy not containing chocolate
Peanut and Caramel Candy Bars,Candy containing chocolate
Toffee Crunch Thins,Candy containing chocolate
Chocolate Toffee,Candy containing chocolate
Milk Caramel Candy,Candy containing chocolate
Chewy Fruit Candies,Candy not containing chocolate
Chocolate Covered Peanut Brittle,Candy containing chocolate
Toffee with Jelly Filling,Candy not containing chocolate
Quinoa Brittle,Nuts and seeds
Caramel Candy Clusters,Candy containing chocolate
Chocolate Cookie Brittle,Cookies and brownies
Sesame Brittle Candy,Candy not containing chocolate
Soft Brittle,Candy not containing chocolate
Caramel Bon Bons,Candy containing chocolate
Cereal Brittle Energy Bars,Nutrition bars
Nut Brittle,Nuts and seeds
Peanut Caramel Candy Bar,Candy containing chocolate
White Fudge Candy Bars,Candy containing chocolate
Spicy Brittle,Candy not containing chocolate
Berry Punch,Fruit drinks
L-Carnitine Supplement,Protein and nutritional powders
Fruit Drink,Fruit drinks
Fruit Cups,Other fruits and fruit salads
Slush Drink,"Gelatins, ices, sorbets"
Lemonade Drink,Fruit drinks
Cranberry Juice Drink,Fruit drinks
Orange Peach Juice Drink,Fruit drinks
Pomegranate and Mango,Other fruits and fruit salads
Juice Drink,Fruit drinks
Mango Pineapple Juice Drink,Fruit drinks
Sugar Free Strawberry Lemonade,Fruit drinks
Passion Fruit Juice,Other fruit juice
Diet Grape Juice Drink,Other diet drinks
Apple Raspberry Juice,Other fruit juice
Ginger Juice Drink,Other fruit juice
Tropical Juice,Other fruit juice
Fruit and Vegetable Pouch,Other fruits and fruit salads
Ginger and Lemon Juice Shot,Vegetable juice
Fruit Juice Gels,"Gelatins, ices, sorbets"
Juice Blend,Other fruit juice
Fruit Juice Cocktail,Other fruit juice
Orange Pineapple Juice,Other fruit juice
